Features,Genre,Score,Popularity
Instrumentalness,Ska,0.059827493,Unpopular
Liveness,Ska,0.237633404,Unpopular
Speechiness,Ska,0.09116216,Unpopular
Valence,Ska,0.649180314,Unpopular
Acousticness,Soul,0.374653628,Unpopular
Danceability,Soul,0.606197735,Unpopular
Energy,Soul,0.525450448,Unpopular
Instrumentalness,Soul,0.057626801,Unpopular
Liveness,Soul,0.194030109,Unpopular
Speechiness,Soul,0.080810571,Unpopular
Valence,Soul,0.494107315,Unpopular
Acousticness,Soundtrack,0.718819181,Unpopular
Danceability,Soundtrack,0.267191251,Unpopular
Energy,Soundtrack,0.219592393,Unpopular
Instrumentalness,Soundtrack,0.784551173,Unpopular
Liveness,Soundtrack,0.137291355,Unpopular
Speechiness,Soundtrack,0.043856617,Unpopular
Valence,Soundtrack,0.118386598,Unpopular
Acousticness,World,0.401542343,Unpopular
Danceability,World,0.446303468,Unpopular
Energy,World,0.506949519,Unpopular
Instrumentalness,World,0.255646432,Unpopular
Liveness,World,0.225720147,Unpopular
Speechiness,World,0.047097958,Unpopular
Valence,World,0.303155787,Unpopular
